Paper,Place,City,State,Country
QED_BC,Nile University,Cairo,,Egypt
QED_BC,"University College Dublin, Belfield",Dublin,,Ireland
QED_BC,National Telecommunication Institute,Cairo,,Egypt
PBMLMSI,Colorado State University,Fort Collins,Colorado,USA
UA_APM,Colorado State University,Fort Collins,Colorado,USA
JAMS,Korea University,Seoul,,Korea
JAMS,"Hyundai Motor Group, Seoul",Seoul,,Korea
JAMS,Naif Arab University for Security Sciences,Riyadh,,Saudi Arabia
JAMS,"Keio University, Kohoku-ku",Yokohama,,Japan
JAMS,National Institute of Informatics,Tokyo,,Japan
SEDAN,Colorado State University,Fort Collins,Colorado,USA
SEDAN,Tsinghua University,Beijing,,China
SEDAN,Louisiana State University,Baton Rouge,Louisiana,USA
SEDAN,University of Wisconsin-Madison,Madison,Wisconsin,USA
SEDAN,University of Texas,Austin,Texas,USA
SEDAN,Intel Gordon Moore Park at Ronler Acres,Hillsboro,Oregon,USA
SEDAN,University of Michigan,Ann Arbor,Michigan,USA
SEDAN,University of Oum El Bouaghi,Oum El Bouaghi,,Algeria
SEDAN,Northeastern University,Shenyang,Liaoning,China
SEDAN,National University of Modern Languages,Islamabad,,Pakistan
SEDAN,National University of Computer and Emerging Sciences,Islamabad,,Pakistan
SEDAN,University of Greenwich,London,,U.K.
SEDAN,Tikrit University,Tikrit,,Iraq
TENET,Robert Gordon University,Aberdeen,,U.K.
TENET,Birmingham City University,Birmingham,,U.K.
TENET,Horiba Mira Ltd.,Warwickshire,,U.K.
TENET,University of Windsor,Windsor,,Canada
TENET,TELUS Corporate Office,Vancouver,,Canada
TENET,Tongji University,Shanghai,,China
TENET,Mississippi State University,,Mississippi ,USA
TENET,Virginia Tech Research Center,Arlington,Virginia,USA
TENET,University of Kentucky,Lexington,Kentucky,USA
TENET,Oak Ridge National Laboratory,Oak Ridge,Tennessee,USA
TENET,Virginia Tech,Blacksburg,Virginia,USA
TENET,Maharaja Surajmal Institute Of Technology,Delhi,,India
TENET,Indira Gandhi Delhi Technical University for Women,Delhi,,India
TENET,Brandon University,Brandon,Manitoba,Canada
TENET,University of Windsor,Windsor,Ontario,Canada
TENET,TELUS Corporate Office,Vancouver,British Columbia,Canada
TENET,Seoul National University of Science and Technology,Seoul,,South Korea
TENET,Colorado State University,Fort Collins,Colorado,USA
TENET,University College of Engineering Panruti,Panruti,,India
TENET,The Islamic University of Najaf,Najaf,,Iraq
TENET,Al-Mustaqbal University,Babylon,,Iraq
TENET,Bannari Amman Institute of Technology,Sathyamangalam,,India
TENET,KPR Institute of Engineering and Technology,Coimbatore,,India
TENET,Dr. Sivanthi Aditanar College of Engineering,Tiruchendur,,India
TENET,VIT Bhopal University,Bhopal,,India
TENET,Erode Sengunthar Engineering College,Perundurai,,India
TENET,Virginia Commonwealth University,Richmond,Virginia,USA
TENET,Idaho National Laboratory,Idaho Falls,Idaho,USA
TENET,University of Doha for Science and Technology,Doha,,Qatar
TENET,Horiba Mira Ltd,Nuneaton,,U.K.
LATTE,University of Ulsan,Ulsan,,South Korea
LATTE,Washington State University,Pullman,,USA
LATTE,University of Montpellier,Montpellier,,France
LATTE,Eindhoven University of Technology,Eindhoven,,Netherlands
LATTE,University of California at Irvine,Irvine,,USA
LATTE,University of Tennessee,Knoxville,,USA
LATTE,National University of Defense Technology,Changsha,,China
LATTE,HCL Technologies (Vietnam) Company Limited,Hanoi,,Vietnam
LATTE,HCL Corporation Private Limited,Noida,,India
LATTE,Virginia Tech,Blacksburg,,USA
RoadMap,King Faisal University,Hofuf,,Saudi Arabia
RoadMap,King Abdulaziz University,Jeddah,,Saudi Arabia
RoadMap,University of New Brunswick,Fredericton,,Canada
RoadMap,University Oran 2,Oran,,Algeria
RoadMap,University of Klagenfurt,Klagenfurt,,Austria
RoadMap,University of Kinshasa,Kinshasa,,Congo
RoadMap,Norwegian University of Life Sciences,Ås,,Norway
RoadMap,University of Nebraska-Lincoln,Lincoln,,Nebraska
RoadMap,Cranfield University,Cranfield,,U.K.
RoadMap,Athena Research & Innovation Center,Patras,,Greece
RoadMap,University of Patras,Patras,,Greece
RoadMap,University of Toronto,Toronto,,Canada
RoadMap,Memorial University of Newfoundland,St. John's,,Canada
RoadMap,Bentley University,"Waltham, MA",,USA
RoadMap,University of Guelph,Guelph,,Canada
RoadMap,Prince Sultan University,Riyadh,,Saudi Arabia
RoadMap,The University of Jordan,Amman,,Jordan
RoadMap,University of Thessaly,Volos,,Greece
RoadMap,Edinburgh Napier University,Edinburgh,,U.K.
RoadMap,Northern Arizona University,Flagstaff,,USA
RoadMap,Brown University,Providence,,USA
RoadMap,University of Pitesti,Pitești,,Romania
RoadMap,Colorado State University,Fort Collins,,USA
RoadMap,University Malaysia Sabah,Kota Kinabalu,,Malaysia
RoadMap,Naresuan University,Phitsanulok,,Thailand
RoadMap,Prince of Songkla University,Hat Yai,,Thailand
RoadMap,University of Porto,Porto,,Portugal
RoadMap,Hindustan Institute of Technology and Science,Chennai,,India
RoadMap,Far Eastern Federal University,Vladivostok,,Russia
RoadMap,BMS Institute of Technology and Management,Bengaluru,,India
RoadMap,Sai Vidya Institute of Technology,Bengaluru,,India
RoadMap,Karabuk University,Karabük,,Turkey
RoadMap,"Hitachi, Ltd. Head Office",Tokyo,,Japan
INDRA,Vellore Institute of Technology,Vellore,,India
INDRA,Nantes University,Nantes,,France
INDRA,Charles Darwin University,Casuarina,,Australia
INDRA,Colorado State University,Fort Collins,,USA
INDRA,SRM Institute of Science and Technology,Kattankulathur,Tamil Nadu,India
INDRA,CVR College of Engineering,Hyderabad,,India
INDRA,University of Calgary,Calgary,,Canada
INDRA,"George Emil Palade University of Medicine, Pharmacy, Science and Technology of Targu Mures",Târgu Mureș,,Romania
INDRA,Korea University,Seoul,,Korea
INDRA,Soongsil University,Seoul,,Korea
